beta_deg,CP,CT,P_W,Thrust_N,lambda
-2,0.101551298611072,0.526041670684489,392270.909285334,205251.138386834,7.62
-1.7,0.0933684492963395,0.497851378857991,360662.3155486,194251.839640564,7.62
-1.4,0.087998359515167,0.477946972467936,339918.809259506,186485.530813438,7.62
-1.1,0.114498886542955,0.493201750876312,442284.667460336,192437.646032911,7.62
-0.8,0.139258887572785,0.503212751947548,537927.246636748,196343.742224091,7.62
-0.5,0.14463362196552,0.499184307975711,558688.694065207,194771.922428768,7.62
-0.2,0.157141589965477,0.499730315427307,607004.294631243,194984.963823116,7.62
0.1,0.261044637005385,0.586348936080749,1008359.50423777,228781.850049796,7.62
0.4,0.321587693088761,0.635866569634708,1242224.35860753,248102.659072296,7.62
0.7,0.410219753940161,0.692382331622846,1584591.02035912,270154.000498862,7.62
1,0.435470842722598,0.699817942111224,1682130.56630887,273055.229816598,7.62
1.3,0.451690427417258,0.699710094219955,1744783.34695692,273013.149685519,7.62
1.6,0.448490799657188,0.685870740434479,1732423.87043635,267613.305381718,7.62
1.9,0.446597060235688,0.673911350445854,1725108.7607826,262946.986064499,7.62
2.2,0.442569357629563,0.659819997874718,1709550.6085458,257448.816779027,7.62
2.5,0.439933831442486,0.647644472364131,1699370.13554358,252698.165621954,7.62
2.8,0.436938102928511,0.635285013942795,1687798.2781255,247875.747452072,7.62
3.1,0.431428846139129,0.620665935240073,1666517.19950006,242171.66978462,7.62
3.4,0.42532639591872,0.60575659865607,1642944.74174158,236354.33918707,7.62
3.7,0.41876643197478,0.590685462784939,1617605.00649089,230473.877682363,7.62
4,0.411732194775449,0.575424358293403,1590433.25526713,224519.294149365,7.62
4.3,0.404288012334147,0.560028062586023,1561677.97340392,218511.961656546,7.62
4.6,0.396452503527705,0.544516119669168,1531411.08163341,212459.505891714,7.62
4.9,0.388242922637956,0.528903618393482,1499699.2295496,206367.814228332,7.62
5.2,0.379683190930059,0.513182313373106,1466634.8198747,200233.66947862,7.62
5.5,0.370708423972416,0.497300552280814,1431967.21795084,194036.917917971,7.62
