Row,lambda_4.00,lambda_4.25,lambda_4.50,lambda_4.75,lambda_5.00,lambda_5.25,lambda_5.50,lambda_5.75,lambda_6.00,lambda_6.25,lambda_6.50,lambda_6.75,lambda_7.00,lambda_7.25,lambda_7.50,lambda_7.75,lambda_8.00,lambda_8.25,lambda_8.50,lambda_8.75,lambda_9.00,lambda_9.25,lambda_9.50,lambda_9.75,lambda_10.00
beta_-2.00,0.177273346557757,0.198392133715206,0.220280188092874,0.243624272350857,0.268140013659106,0.291378103772149,0.316339253015991,0.345254913394737,0.374378102241762,0.400565668946136,0.416794886955567,0.432453504634671,0.285196719756577,0.127256245552592,0.0979084455811587,0.103950854733082,0.0860061722706886,0.0937058722834547,0.0972487210903176,0.103229663433593,0.107738781098384,0.111628064796762,0.115512291207178,0.123283389933882,0.127213249344601
beta_-1.30,0.181224424537019,0.202627010174801,0.225380573321437,0.249459174788026,0.274789223997991,0.301880912901157,0.328159636046362,0.355243630002555,0.384070998230224,0.409393755490409,0.429579879644053,0.43687759313272,0.404813396123367,0.15309112697545,0.115605084537955,0.0854423327113246,0.0881183661104261,0.0720851603160217,0.0742617006607352,0.078215147009596,0.0810537613568286,0.0863295719092949,0.0884508447215697,0.0942922588152363,0.0994627957310226
beta_-0.60,0.184818403388522,0.206839714619389,0.230313839396376,0.255003072171765,0.281403013960179,0.309840215222578,0.339706876016307,0.364963545618758,0.39254726016526,0.415070030133136,0.433345121813303,0.439354740150792,0.429988645746869,0.30228625451606,0.155977191379489,0.139719130248485,0.0737019241488863,0.0721914781876582,0.0757073374811023,0.0575579070708447,0.0599218564552489,0.0636404197381607,0.0652129460416252,0.0662777476667488,0.0692331585637519
beta_0.10,0.188273716740059,0.21095546059903,0.234913146338479,0.260473775728836,0.288055134165714,0.317416428868753,0.347215886769601,0.376283022051751,0.39798896779877,0.419622904273346,0.435137487178786,0.444933190246981,0.451222476321314,0.430429877885629,0.306120353073178,0.151824837636033,0.146152735910287,0.130810162973661,0.109129837919752,0.0644756517138536,0.0458272389250304,0.0465118970938822,0.045306927785211,0.0439929881656886,0.047170283937825
beta_0.80,0.191702612943397,0.214838230340102,0.239409271013739,0.265937907773637,0.294399767752997,0.323871360183347,0.353533927721572,0.381596556372689,0.405843678121153,0.420861435729022,0.432458874657191,0.440933434736531,0.447307696037727,0.451698570183939,0.427723760438431,0.41000225084376,0.300517668934266,0.145676974652121,0.14615487506969,0.125789203320656,0.126189603380888,0.127499064796079,0.128081313986681,0.0357943779872698,0.0323256627483672
beta_1.50,0.194947696473077,0.218510379597835,0.243861086236506,0.271163391709574,0.29986713108675,0.329541358946245,0.35857460324878,0.384619713273391,0.405507332193665,0.420254621851475,0.430446702256249,0.434862586890619,0.441034060378271,0.444405615216499,0.448155154677164,0.450942075490333,0.433348962056783,0.330469302010638,0.293530713984136,0.196368369518186,0.128048945841287,0.13038536939563,0.111647315058589,0.11063305159484,0.107862714156032
beta_2.20,0.197973462284984,0.222091091283058,0.248117558636016,0.275721734858107,0.304880545552041,0.334257686834434,0.361496343164836,0.384470132905876,0.400607063099158,0.412228072212499,0.421216838629421,0.428650217605429,0.434991945405023,0.438305708416308,0.44079913893129,0.44425188040951,0.446732637767861,0.448373081721325,0.429096518003143,0.386502742978004,0.281624182401882,0.280542100560043,0.279052407206593,0.127929226295645,0.110934305496207
beta_2.90,0.200888823001541,0.22555504784934,0.251827181231605,0.280014471971522,0.309215739349271,0.337173567647401,0.361511631332013,0.379272011406029,0.392178445611477,0.401949690961142,0.410118514043117,0.417210432401564,0.423377042601827,0.428748085300507,0.433280553256383,0.436998224659401,0.439814350784025,0.43973844705176,0.440980088263485,0.441562450457578,0.4188940664535,0.396964467382699,0.333403989032522,0.272703948847558,0.270244536169686
beta_3.60,0.203671439403071,0.228536401280165,0.255374170323095,0.283897064872234,0.312126341962341,0.33744135912477,0.356710732206754,0.370984969476287,0.381497924255127,0.390114877842064,0.397599924974937,0.404226392165965,0.41004727347049,0.41507390937628,0.419244242116182,0.422715059017234,0.425512260370372,0.427712141489494,0.429308024834873,0.430270573405495,0.43045926877922,0.429916028867041,0.426448629409482,0.403395482452042,0.400817238513357
beta_4.30,0.206145758541611,0.231330243693583,0.258740579925389,0.286786650648786,0.312783984961161,0.333333732006707,0.348960996880506,0.360335531789462,0.36931965670451,0.377005529948581,0.383784768813607,0.389688013551372,0.394721674096399,0.399073261795803,0.402739645870059,0.405825330613501,0.408367629189496,0.410379967940276,0.411678648553293,0.412316736594047,0.41234340176416,0.411763509637253,0.410574212453638,0.4088094454669,0.406473827610207
